MeasurementId,timeId,Count,Type
6r_6FFF_stop___7r_7GGG_stop___bus2___From_3_to_2_bus2,AfterMorningPeak,10.0,smartCardEntryAndExit
6r_6FFF_stop___7r_7GGG_stop___bus2___From_3_to_2_bus2,AfterAfternoonPeak,0.0,smartCardEntryAndExit
6r_6FFF_stop___7r_7GGG_stop___bus2___From_3_to_2_bus2,AfternoonPeak,0.0,smartCardEntryAndExit
6r_6FFF_stop___7r_7GGG_stop___bus2___From_3_to_2_bus2,BeforeMorningPeak,0.0,smartCardEntryAndExit
bus1___From_4_to_1_bus1___6r_6FFF_stop,MorningPeak,0.0,smartCardEntry
bus1___From_4_to_1_bus1___6r_6FFF_stop,AfterMorningPeak,16.0,smartCardEntry
bus1___From_4_to_1_bus1___6r_6FFF_stop,AfterAfternoonPeak,0.0,smartCardEntry
bus1___From_4_to_1_bus1___6r_6FFF_stop,AfternoonPeak,584.0,smartCardEntry
bus1___From_4_to_1_bus1___6r_6FFF_stop,BeforeMorningPeak,0.0,smartCardEntry
5_5rEEE_stop___7_7rGGG_stop___bus___bus2___From_2_to_3_bus2,MorningPeak,0.0,smartCardEntryAndExit
5_5rEEE_stop___7_7rGGG_stop___bus___bus2___From_2_to_3_bus2,AfterMorningPeak,0.0,smartCardEntryAndExit
5_5rEEE_stop___7_7rGGG_stop___bus___bus2___From_2_to_3_bus2,BeforeMorningPeak,0.0,smartCardEntryAndExit
5r_5EEE_stop___2r_2BBB_stop___bus2___From_3_to_2_bus2,MorningPeak,0.0,smartCardEntryAndExit
5r_5EEE_stop___2r_2BBB_stop___bus2___From_3_to_2_bus2,AfterMorningPeak,0.0,smartCardEntryAndExit
5r_5EEE_stop___2r_2BBB_stop___bus2___From_3_to_2_bus2,AfterAfternoonPeak,0.0,smartCardEntryAndExit
5r_5EEE_stop___2r_2BBB_stop___bus2___From_3_to_2_bus2,AfternoonPeak,18.0,smartCardEntryAndExit
5r_5EEE_stop___2r_2BBB_stop___bus2___From_3_to_2_bus2,BeforeMorningPeak,0.0,smartCardEntryAndExit
6r_3,MorningPeak,30.0,linkVolume
6r_3,AfterMorningPeak,82.0,linkVolume
6r_3,AfterAfternoonPeak,48.0,linkVolume
6r_3,AfternoonPeak,904.0,linkVolume
6r_3,BeforeMorningPeak,84.0,linkVolume
6r_4,MorningPeak,63.0,linkVolume
6r_4,AfterMorningPeak,108.0,linkVolume
6r_4,AfterAfternoonPeak,72.0,linkVolume
6r_4,AfternoonPeak,72.0,linkVolume
6r_4,BeforeMorningPeak,126.0,linkVolume
7r_7GGG_stop___5r_5EEE_stop___bus2___From_3_to_2_bus2,MorningPeak,0.0,smartCardEntryAndExit
7r_7GGG_stop___5r_5EEE_stop___bus2___From_3_to_2_bus2,AfterMorningPeak,9.0,smartCardEntryAndExit
7r_7GGG_stop___5r_5EEE_stop___bus2___From_3_to_2_bus2,AfterAfternoonPeak,0.0,smartCardEntryAndExit
7r_7GGG_stop___5r_5EEE_stop___bus2___From_3_to_2_bus2,AfternoonPeak,39.0,smartCardEntryAndExit
7r_7GGG_stop___5r_5EEE_stop___bus2___From_3_to_2_bus2,BeforeMorningPeak,0.0,smartCardEntryAndExit
2r_3,MorningPeak,3633.0,linkVolume
2r_3,AfterMorningPeak,250.0,linkVolume
2r_3,AfterAfternoonPeak,0.0,linkVolume
2r_3,AfternoonPeak,0.0,linkVolume
2r_3,BeforeMorningPeak,0.0,linkVolume
1_1rAAA_stop_train___5_5rEEE_stop_train___train,MorningPeak,54.0,smartCardEntryAndExit
1_1rAAA_stop_train___5_5rEEE_stop_train___train,AfterMorningPeak,36.0,smartCardEntryAndExit
1_1rAAA_stop_train___5_5rEEE_stop_train___train,BeforeMorningPeak,0.0,smartCardEntryAndExit
bus1___From_1_to_4_bus1___2_2rBBB_stop,MorningPeak,9.0,smartCardEntry
bus1___From_1_to_4_bus1___2_2rBBB_stop,AfterMorningPeak,1.0,smartCardEntry
bus1___From_1_to_4_bus1___2_2rBBB_stop,AfterAfternoonPeak,0.0,smartCardEntry
bus1___From_1_to_4_bus1___2_2rBBB_stop,AfternoonPeak,0.0,smartCardEntry
bus1___From_1_to_4_bus1___2_2rBBB_stop,BeforeMorningPeak,0.0,smartCardEntry
6r_6FFF_stop___2r_2BBB_stop___bus___bus1___From_4_to_1_bus1,AfterMorningPeak,0.0,smartCardEntryAndExit
6r_6FFF_stop___2r_2BBB_stop___bus___bus1___From_4_to_1_bus1,AfternoonPeak,0.0,smartCardEntryAndExit
2r_5,MorningPeak,3565.0,linkVolume
2r_5,AfterMorningPeak,490.0,linkVolume
2r_5,AfterAfternoonPeak,120.0,linkVolume
2r_5,AfternoonPeak,120.0,linkVolume
2r_5,BeforeMorningPeak,210.0,linkVolume
7_7rGGG_stop_train___4_4rDDD_stop_train___train,AfterMorningPeak,0.0,smartCardEntryAndExit
7_7rGGG_stop_train___4_4rDDD_stop_train___train,AfternoonPeak,16.0,smartCardEntryAndExit
5_1r,MorningPeak,30.0,linkVolume
5_1r,AfterMorningPeak,205.0,linkVolume
5_1r,AfterAfternoonPeak,40.0,linkVolume
5_1r,AfternoonPeak,3000.0,linkVolume
5_1r,BeforeMorningPeak,70.0,linkVolume
MTR1___From_4_to_1_MTR1___6r_6FFF_stop_train,MorningPeak,0.0,smartCardEntry
MTR1___From_4_to_1_MTR1___6r_6FFF_stop_train,AfterMorningPeak,0.0,smartCardEntry
MTR1___From_4_to_1_MTR1___6r_6FFF_stop_train,AfterAfternoonPeak,0.0,smartCardEntry
MTR1___From_4_to_1_MTR1___6r_6FFF_stop_train,AfternoonPeak,0.0,smartCardEntry
MTR1___From_4_to_1_MTR1___6r_6FFF_stop_train,BeforeMorningPeak,0.0,smartCardEntry
7r_7GGG_stop___2r_2BBB_stop___bus2___From_3_to_2_bus2,MorningPeak,0.0,smartCardEntryAndExit
7r_7GGG_stop___2r_2BBB_stop___bus2___From_3_to_2_bus2,AfterMorningPeak,160.0,smartCardEntryAndExit
7r_7GGG_stop___2r_2BBB_stop___bus2___From_3_to_2_bus2,AfterAfternoonPeak,0.0,smartCardEntryAndExit
7r_7GGG_stop___2r_2BBB_stop___bus2___From_3_to_2_bus2,AfternoonPeak,729.0,smartCardEntryAndExit
7r_7GGG_stop___2r_2BBB_stop___bus2___From_3_to_2_bus2,BeforeMorningPeak,0.0,smartCardEntryAndExit
1r_5,MorningPeak,2882.0,linkVolume
1r_5,AfterMorningPeak,212.0,linkVolume
1r_5,AfterAfternoonPeak,0.0,linkVolume
1r_5,AfternoonPeak,0.0,linkVolume
1r_5,BeforeMorningPeak,0.0,linkVolume
1r_2,MorningPeak,2298.0,linkVolume
1r_2,AfterMorningPeak,202.0,linkVolume
1r_2,AfterAfternoonPeak,72.0,linkVolume
1r_2,AfternoonPeak,72.0,linkVolume
1r_2,BeforeMorningPeak,126.0,linkVolume
bus1___From_4_to_1_bus1___4r_4DDD_stop,MorningPeak,0.0,smartCardEntry
bus1___From_4_to_1_bus1___4r_4DDD_stop,AfterMorningPeak,2.0,smartCardEntry
bus1___From_4_to_1_bus1___4r_4DDD_stop,AfterAfternoonPeak,0.0,smartCardEntry
bus1___From_4_to_1_bus1___4r_4DDD_stop,AfternoonPeak,116.0,smartCardEntry
bus1___From_4_to_1_bus1___4r_4DDD_stop,BeforeMorningPeak,0.0,smartCardEntry
6r_6FFF_stop___5r_5EEE_stop___bus1___From_4_to_1_bus1,MorningPeak,0.0,smartCardEntryAndExit
6r_6FFF_stop___5r_5EEE_stop___bus1___From_4_to_1_bus1,AfterMorningPeak,0.0,smartCardEntryAndExit
6r_6FFF_stop___5r_5EEE_stop___bus1___From_4_to_1_bus1,AfterAfternoonPeak,0.0,smartCardEntryAndExit
6r_6FFF_stop___5r_5EEE_stop___bus1___From_4_to_1_bus1,AfternoonPeak,2.0,smartCardEntryAndExit
6r_6FFF_stop___5r_5EEE_stop___bus1___From_4_to_1_bus1,BeforeMorningPeak,0.0,smartCardEntryAndExit
MTR2___From_2_to_3_MTR2___5_5rEEE_stop_train,MorningPeak,0.0,smartCardEntry
MTR2___From_2_to_3_MTR2___5_5rEEE_stop_train,AfterMorningPeak,1.0,smartCardEntry
MTR2___From_2_to_3_MTR2___5_5rEEE_stop_train,AfterAfternoonPeak,0.0,smartCardEntry
MTR2___From_2_to_3_MTR2___5_5rEEE_stop_train,AfternoonPeak,0.0,smartCardEntry
MTR2___From_2_to_3_MTR2___5_5rEEE_stop_train,BeforeMorningPeak,0.0,smartCardEntry
bus2___From_3_to_2_bus2___5r_5EEE_stop,MorningPeak,0.0,smartCardEntry
bus2___From_3_to_2_bus2___5r_5EEE_stop,AfterMorningPeak,0.0,smartCardEntry
bus2___From_3_to_2_bus2___5r_5EEE_stop,AfterAfternoonPeak,0.0,smartCardEntry
bus2___From_3_to_2_bus2___5r_5EEE_stop,AfternoonPeak,18.0,smartCardEntry
bus2___From_3_to_2_bus2___5r_5EEE_stop,BeforeMorningPeak,0.0,smartCardEntry
1_1rAAA_stop_train___7r_7GGG_stop_train___train,MorningPeak,747.0,smartCardEntryAndExit
1_1rAAA_stop_train___7r_7GGG_stop_train___train,AfterMorningPeak,285.0,smartCardEntryAndExit
1_1rAAA_stop_train___7r_7GGG_stop_train___train,BeforeMorningPeak,0.0,smartCardEntryAndExit
5r_7,MorningPeak,4369.0,linkVolume
5r_7,AfterMorningPeak,859.0,linkVolume
5r_7,AfterAfternoonPeak,48.0,linkVolume
5r_7,AfternoonPeak,48.0,linkVolume
5r_7,BeforeMorningPeak,84.0,linkVolume
7r_7GGG_stop___5r_5EEE_stop___bus___bus2___From_3_to_2_bus2,AfterMorningPeak,0.0,smartCardEntryAndExit
7r_7GGG_stop___5r_5EEE_stop___bus___bus2___From_3_to_2_bus2,AfternoonPeak,0.0,smartCardEntryAndExit
7_7rGGG_stop_train___1r_1AAA_stop_train___train,AfterMorningPeak,0.0,smartCardEntryAndExit
7_7rGGG_stop_train___1r_1AAA_stop_train___train,AfternoonPeak,1118.0,smartCardEntryAndExit
5r_6,MorningPeak,1696.0,linkVolume
5r_6,AfterMorningPeak,225.0,linkVolume
5r_6,AfterAfternoonPeak,72.0,linkVolume
5r_6,AfternoonPeak,72.0,linkVolume
5r_6,BeforeMorningPeak,126.0,linkVolume
2_2rBBB_stop___7_7rGGG_stop___bus2___From_2_to_3_bus2,MorningPeak,70.0,smartCardEntryAndExit
2_2rBBB_stop___7_7rGGG_stop___bus2___From_2_to_3_bus2,AfterMorningPeak,42.0,smartCardEntryAndExit
2_2rBBB_stop___7_7rGGG_stop___bus2___From_2_to_3_bus2,AfterAfternoonPeak,0.0,smartCardEntryAndExit
2_2rBBB_stop___7_7rGGG_stop___bus2___From_2_to_3_bus2,AfternoonPeak,0.0,smartCardEntryAndExit
2_2rBBB_stop___7_7rGGG_stop___bus2___From_2_to_3_bus2,BeforeMorningPeak,0.0,smartCardEntryAndExit
2r_2BBB_stop___1r_1AAA_stop___bus___bus1___From_4_to_1_bus1,MorningPeak,0.0,smartCardEntryAndExit
2r_2BBB_stop___1r_1AAA_stop___bus___bus1___From_4_to_1_bus1,AfterMorningPeak,0.0,smartCardEntryAndExit
2r_2BBB_stop___1r_1AAA_stop___bus___bus1___From_4_to_1_bus1,AfternoonPeak,0.0,smartCardEntryAndExit
2r_2BBB_stop___1r_1AAA_stop___bus___bus1___From_4_to_1_bus1,BeforeMorningPeak,0.0,smartCardEntryAndExit
MTR2___From_3_to_2_MTR2___7r_7GGG_stop_train,MorningPeak,0.0,smartCardEntry
MTR2___From_3_to_2_MTR2___7r_7GGG_stop_train,AfterMorningPeak,32.0,smartCardEntry
MTR2___From_3_to_2_MTR2___7r_7GGG_stop_train,AfterAfternoonPeak,0.0,smartCardEntry
MTR2___From_3_to_2_MTR2___7r_7GGG_stop_train,AfternoonPeak,1993.0,smartCardEntry
MTR2___From_3_to_2_MTR2___7r_7GGG_stop_train,BeforeMorningPeak,0.0,smartCardEntry
7r_7GGG_stop___2r_2BBB_stop___bus___bus2___From_3_to_2_bus2,AfterMorningPeak,0.0,smartCardEntryAndExit
7r_7GGG_stop___2r_2BBB_stop___bus___bus2___From_3_to_2_bus2,AfternoonPeak,0.0,smartCardEntryAndExit
1_1rAAA_stop_train___6_6rFFF_stop_train___train,MorningPeak,101.0,smartCardEntryAndExit
1_1rAAA_stop_train___6_6rFFF_stop_train___train,AfterMorningPeak,3.0,smartCardEntryAndExit
1_1rAAA_stop_train___6_6rFFF_stop_train___train,BeforeMorningPeak,0.0,smartCardEntryAndExit
5_2r,MorningPeak,109.0,linkVolume
5_2r,AfterMorningPeak,421.0,linkVolume
5_2r,AfterAfternoonPeak,150.0,linkVolume
5_2r,AfternoonPeak,4428.0,linkVolume
5_2r,BeforeMorningPeak,262.0,linkVolume
MTR1___From_1_to_4_MTR1___6_6rFFF_stop_train,MorningPeak,0.0,smartCardEntry
MTR1___From_1_to_4_MTR1___6_6rFFF_stop_train,AfterMorningPeak,0.0,smartCardEntry
MTR1___From_1_to_4_MTR1___6_6rFFF_stop_train,AfterAfternoonPeak,0.0,smartCardEntry
MTR1___From_1_to_4_MTR1___6_6rFFF_stop_train,AfternoonPeak,0.0,smartCardEntry
MTR1___From_1_to_4_MTR1___6_6rFFF_stop_train,BeforeMorningPeak,0.0,smartCardEntry
MTR1___From_4_to_1_MTR1___5r_5EEE_stop_train,MorningPeak,0.0,smartCardEntry
MTR1___From_4_to_1_MTR1___5r_5EEE_stop_train,AfterMorningPeak,2.0,smartCardEntry
MTR1___From_4_to_1_MTR1___5r_5EEE_stop_train,AfterAfternoonPeak,0.0,smartCardEntry
MTR1___From_4_to_1_MTR1___5r_5EEE_stop_train,AfternoonPeak,85.0,smartCardEntry
MTR1___From_4_to_1_MTR1___5r_5EEE_stop_train,BeforeMorningPeak,0.0,smartCardEntry
5_5rEEE_stop___7_7rGGG_stop___bus2___From_2_to_3_bus2,MorningPeak,54.0,smartCardEntryAndExit
5_5rEEE_stop___7_7rGGG_stop___bus2___From_2_to_3_bus2,AfterMorningPeak,36.0,smartCardEntryAndExit
5_5rEEE_stop___7_7rGGG_stop___bus2___From_2_to_3_bus2,AfterAfternoonPeak,0.0,smartCardEntryAndExit
5_5rEEE_stop___7_7rGGG_stop___bus2___From_2_to_3_bus2,AfternoonPeak,0.0,smartCardEntryAndExit
5_5rEEE_stop___7_7rGGG_stop___bus2___From_2_to_3_bus2,BeforeMorningPeak,0.0,smartCardEntryAndExit
2_2rBBB_stop___6_6rFFF_stop___bus1___From_1_to_4_bus1,MorningPeak,9.0,smartCardEntryAndExit
2_2rBBB_stop___6_6rFFF_stop___bus1___From_1_to_4_bus1,AfterMorningPeak,1.0,smartCardEntryAndExit
2_2rBBB_stop___6_6rFFF_stop___bus1___From_1_to_4_bus1,AfterAfternoonPeak,0.0,smartCardEntryAndExit
2_2rBBB_stop___6_6rFFF_stop___bus1___From_1_to_4_bus1,AfternoonPeak,0.0,smartCardEntryAndExit
2_2rBBB_stop___6_6rFFF_stop___bus1___From_1_to_4_bus1,BeforeMorningPeak,0.0,smartCardEntryAndExit
4r_4DDD_stop___2r_2BBB_stop___bus___bus1___From_4_to_1_bus1,AfterMorningPeak,0.0,smartCardEntryAndExit
4r_4DDD_stop___2r_2BBB_stop___bus___bus1___From_4_to_1_bus1,AfternoonPeak,0.0,smartCardEntryAndExit
MTR2___From_2_to_3_MTR2___7_7rGGG_stop_train,MorningPeak,0.0,smartCardEntry
MTR2___From_2_to_3_MTR2___7_7rGGG_stop_train,AfterMorningPeak,15.0,smartCardEntry
MTR2___From_2_to_3_MTR2___7_7rGGG_stop_train,AfterAfternoonPeak,0.0,smartCardEntry
MTR2___From_2_to_3_MTR2___7_7rGGG_stop_train,AfternoonPeak,2001.0,smartCardEntry
MTR2___From_2_to_3_MTR2___7_7rGGG_stop_train,BeforeMorningPeak,0.0,smartCardEntry
6_7r,MorningPeak,2999.0,linkVolume
6_7r,AfterMorningPeak,492.0,linkVolume
6_7r,AfterAfternoonPeak,78.0,linkVolume
6_7r,AfternoonPeak,78.0,linkVolume
6_7r,BeforeMorningPeak,136.0,linkVolume
7_7rGGG_stop_train___2r_2BBB_stop_train___train,AfterMorningPeak,0.0,smartCardEntryAndExit
7_7rGGG_stop_train___2r_2BBB_stop_train___train,AfternoonPeak,313.0,smartCardEntryAndExit
4r_4DDD_stop___1r_1AAA_stop___bus___bus1___From_4_to_1_bus1,AfterMorningPeak,0.0,smartCardEntryAndExit
4r_4DDD_stop___1r_1AAA_stop___bus___bus1___From_4_to_1_bus1,AfternoonPeak,0.0,smartCardEntryAndExit
bus2___From_2_to_3_bus2___2_2rBBB_stop,MorningPeak,71.0,smartCardEntry
bus2___From_2_to_3_bus2___2_2rBBB_stop,AfterMorningPeak,42.0,smartCardEntry
bus2___From_2_to_3_bus2___2_2rBBB_stop,AfterAfternoonPeak,0.0,smartCardEntry
bus2___From_2_to_3_bus2___2_2rBBB_stop,AfternoonPeak,0.0,smartCardEntry
bus2___From_2_to_3_bus2___2_2rBBB_stop,BeforeMorningPeak,0.0,smartCardEntry
bus2___From_3_to_2_bus2___7r_7GGG_stop,MorningPeak,0.0,smartCardEntry
bus2___From_3_to_2_bus2___7r_7GGG_stop,AfterMorningPeak,169.0,smartCardEntry
bus2___From_3_to_2_bus2___7r_7GGG_stop,AfterAfternoonPeak,0.0,smartCardEntry
bus2___From_3_to_2_bus2___7r_7GGG_stop,AfternoonPeak,768.0,smartCardEntry
bus2___From_3_to_2_bus2___7r_7GGG_stop,BeforeMorningPeak,0.0,smartCardEntry
